,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,H32,H33,H34,H35,H36,H37,H38,H39,H40,H41,H42,H43,H44,H45,H46,H47,H48,H49,H50,H51,H52,H53,H54,H55,H56,H57,WIDTH,DEPTH,VELOCITY
Tr01,16.470,15.120,13.950,13.680,14.490,15.180,14.250,15.120,13.950,1.590,0.586,0.214,1.493,15.377,15.326,15.120,15.120,2.153,2.040,0.380,0.490,11.242,10.185,13.815,12.735,31.574,35.310,-0.607,-0.320,6.406,5.924,2.957,2.786,35.458,32.390,0.888,1.069,0.000,0.000,1.000,14.000,3.000,7.000,9.000,9.000,0.000,0.000,7.143,46.667,100.000,100.000,64.286,30.000,1.260,-0.228,1.140,0.559,17.100,1.300,0.346
Tr02,0.709,0.726,0.697,0.678,0.669,0.711,0.700,0.709,0.697,0.000,0.001,0.448,0.647,0.727,0.770,0.709,0.717,0.006,0.017,2.242,1.393,0.621,0.576,0.687,0.673,0.064,0.084,-0.598,-0.439,0.349,0.329,0.192,0.169,0.097,0.095,0.745,0.910,0.000,0.000,0.000,8.000,3.000,7.000,12.000,12.000,0.000,0.000,0.000,26.667,100.000,100.000,85.714,40.000,0.006,-0.018,0.039,0.029,2.800,0.700,0.792
Tr03,15.840,14.490,13.140,12.960,13.500,14.490,13.530,14.490,13.140,1.823,0.699,0.000,1.642,14.529,14.464,14.490,14.490,1.960,1.792,0.283,0.369,10.666,9.648,13.050,12.195,28.221,31.378,-0.617,-0.335,6.072,5.608,2.772,2.592,31.861,28.944,0.884,1.061,0.000,0.000,1.000,16.000,3.000,7.000,9.000,9.000,0.000,0.000,7.143,53.333,100.000,100.000,64.286,30.000,1.350,-0.141,1.082,0.531,11.400,2.000,0.611
Tr04,0.238,0.251,0.239,0.232,0.230,0.243,0.241,0.239,0.239,0.000,0.000,1.615,0.690,0.242,0.251,0.238,0.239,0.000,0.001,1.499,1.465,0.217,0.206,0.234,0.231,0.003,0.005,-0.699,-0.529,0.153,0.149,0.118,0.113,0.005,0.005,0.711,0.877,0.000,0.000,0.000,0.000,3.000,7.000,10.000,10.000,0.000,0.000,0.000,0.000,100.000,100.000,71.429,33.333,-0.001,-0.002,0.009,0.007,3.100,0.480,0.236
Tr05,14.580,13.590,12.060,11.880,12.330,13.410,12.510,13.590,12.060,1.612,0.883,-0.625,1.661,13.333,13.359,13.590,13.590,1.667,1.747,0.268,0.266,9.988,9.051,11.970,11.655,23.480,26.509,-0.663,-0.380,5.664,5.238,2.556,2.354,27.547,25.135,0.857,1.032,0.000,0.000,1.000,14.000,3.000,7.000,9.000,9.000,0.000,0.000,7.143,46.667,100.000,100.000,64.286,30.000,1.260,-0.084,0.971,0.494,14.000,0.600,9.150
Tr06,11.250,10.710,9.630,9.540,10.080,10.530,9.960,10.710,9.630,0.680,0.424,-0.935,1.695,10.684,10.813,10.710,10.710,1.058,1.343,0.564,0.371,8.162,7.446,9.630,9.585,14.539,16.956,-0.703,-0.410,4.655,4.330,2.201,2.007,17.730,16.461,0.829,1.009,0.000,0.000,1.000,13.000,3.000,7.000,10.000,10.000,0.000,0.000,7.143,43.333,100.000,100.000,71.429,33.333,0.810,-0.174,0.738,0.395,14.500,0.650,9.080
Tr07,8.145,7.524,6.606,6.534,7.011,7.425,6.888,7.524,6.606,0.599,0.305,-0.566,1.699,7.497,7.487,7.524,7.524,0.681,0.666,0.213,0.238,5.426,4.884,6.570,6.260,8.408,9.348,-0.614,-0.322,2.947,2.700,1.112,1.026,9.358,8.529,0.893,1.074,0.000,0.000,1.000,14.000,3.000,7.000,9.000,9.000,0.000,0.000,7.143,46.667,100.000,100.000,64.286,30.000,0.770,-0.106,0.581,0.286,11.400,1.450,10.240
Tr08,0.518,0.454,0.361,0.331,0.290,0.444,0.382,0.454,0.361,0.006,0.004,-0.540,1.320,0.370,0.337,0.347,0.331,0.007,0.004,1.019,1.363,0.231,0.194,0.286,0.220,0.029,0.025,0.067,0.112,0.114,0.097,0.016,0.016,0.025,0.020,1.289,1.364,0.000,0.000,4.000,20.000,3.000,7.000,8.000,8.000,0.000,0.000,28.571,66.667,100.000,100.000,57.143,26.667,0.078,0.032,0.039,0.015,4.000,0.550,7.780
Tr09,7.065,6.228,6.156,6.678,7.569,6.483,6.354,6.228,6.228,0.255,0.080,1.693,1.607,7.115,6.942,7.065,6.678,0.671,0.903,0.224,0.370,4.672,4.206,6.003,4.725,8.413,9.053,-0.330,-0.027,2.590,2.379,0.999,0.900,7.716,7.100,1.068,1.278,0.000,0.000,2.000,15.000,3.000,7.000,8.000,8.000,0.000,0.000,14.286,50.000,100.000,100.000,57.143,26.667,0.455,-0.277,0.592,0.251,9.800,1.050,0.659
Tr10,0.640,0.619,0.604,0.600,0.644,0.621,0.608,0.619,0.604,0.000,0.000,0.444,1.485,0.691,0.717,0.640,0.644,0.015,0.017,1.391,0.604,0.525,0.482,0.602,0.587,0.070,0.085,-0.447,-0.231,0.290,0.271,0.141,0.117,0.083,0.080,0.886,1.064,0.000,0.000,1.000,8.000,3.000,7.000,11.000,11.000,0.000,0.000,7.143,26.667,100.000,100.000,78.571,36.667,0.018,-0.045,0.045,0.026,1.600,0.340,0.759
